,Capacity,DaysShowedInWeek,Index,LastDate,Lifetime,Movie,OccAtWeek,OccPer,OtherReleasesInWeek,ReleaseDate,ShowsInWeek,WeeksSinceRelease
78,840,7,78,2015-02-26,7,HO00000764,707,0.8416666666666661,6,2015-01-09,7,5
79,840,7,79,2015-02-26,7,HO00000764,638,0.759523809523809,8,2015-01-09,7,6
80,240,2,80,2015-02-26,7,HO00000764,169,0.704166666666666,7,2015-01-09,2,7
81,2600,4,81,2015-02-04,4,HO00000765,1959,0.7534615384615381,3,2015-01-10,16,0
82,840,7,82,2015-02-04,4,HO00000765,753,0.896428571428571,7,2015-01-10,7,1
83,840,7,83,2015-02-04,4,HO00000765,694,0.826190476190476,7,2015-01-10,7,2
84,840,7,84,2015-02-04,4,HO00000765,611,0.727380952380952,10,2015-01-10,7,3
85,120,1,85,2015-02-04,4,HO00000765,40,0.33333333333333304,3,2015-01-10,1,4
86,23615,7,86,2015-04-01,11,HO00000766,22359,0.946813466017361,7,2015-01-14,145,0
87,15423,7,87,2015-04-01,11,HO00000766,13484,0.874278674706607,7,2015-01-14,86,1
88,8760,7,88,2015-04-01,11,HO00000766,6992,0.798173515981735,10,2015-01-14,37,2
89,3800,7,89,2015-04-01,11,HO00000766,2952,0.7768421052631571,3,2015-01-14,28,3
90,2875,7,90,2015-04-01,11,HO00000766,2260,0.7860869565217391,6,2015-01-14,24,4
91,1822,7,91,2015-04-01,11,HO00000766,1223,0.671240395170142,8,2015-01-14,15,5
92,1015,7,92,2015-04-01,11,HO00000766,681,0.670935960591132,7,2015-01-14,8,6
93,917,7,93,2015-04-01,11,HO00000766,615,0.670665212649945,10,2015-01-14,7,7
94,842,7,94,2015-04-01,11,HO00000766,600,0.7125890736342041,10,2015-01-14,7,8
95,840,7,95,2015-04-01,11,HO00000766,680,0.8095238095238091,12,2015-01-14,7,9
96,790,7,96,2015-04-01,11,HO00000766,522,0.660759493670886,11,2015-01-14,7,10
97,110,1,97,2015-04-01,11,HO00000766,64,0.581818181818181,5,2015-01-14,1,11
98,550,5,98,2015-02-12,4,HO00000767,506,0.92,7,2015-01-16,5,0
99,770,7,99,2015-02-12,4,HO00000767,688,0.893506493506493,7,2015-01-16,7,1
100,990,7,100,2015-02-12,4,HO00000767,905,0.914141414141414,10,2015-01-16,9,2
101,770,7,101,2015-02-12,4,HO00000767,648,0.8415584415584411,3,2015-01-16,7,3
102,220,2,102,2015-02-12,4,HO00000767,190,0.8636363636363631,6,2015-01-16,2,4
103,1320,6,103,2015-02-19,5,HO00000768,1279,0.9689393939393941,7,2015-01-15,12,0
104,4570,7,104,2015-02-19,5,HO00000768,4368,0.955798687089715,7,2015-01-15,27,1
105,5600,7,105,2015-02-19,5,HO00000768,4103,0.7326785714285711,10,2015-01-15,25,2
106,1620,7,106,2015-02-19,5,HO00000768,1013,0.625308641975308,3,2015-01-15,11,3
107,1390,7,107,2015-02-19,5,HO00000768,789,0.567625899280575,6,2015-01-15,9,4
108,220,2,108,2015-02-19,5,HO00000768,153,0.6954545454545451,8,2015-01-15,2,5
109,655,5,109,2015-01-22,1,HO00000769,394,0.6015267175572521,7,2015-01-16,5,0
110,262,2,110,2015-01-22,1,HO00000769,85,0.32442748091603,7,2015-01-16,2,1
111,786,6,111,2015-02-04,3,HO00000770,593,0.754452926208651,7,2015-01-15,6,0
112,812,7,112,2015-02-04,3,HO00000770,687,0.8460591133004921,7,2015-01-15,7,1
113,820,7,113,2015-02-04,3,HO00000770,661,0.806097560975609,10,2015-01-15,7,2
114,120,1,114,2015-02-04,3,HO00000770,78,0.65,3,2015-01-15,1,3
115,655,5,115,2015-03-12,8,HO00000771,510,0.778625954198473,7,2015-01-16,5,0
116,917,7,116,2015-03-12,8,HO00000771,718,0.7829880043620501,7,2015-01-16,7,1
117,1032,7,117,2015-03-12,8,HO00000771,907,0.8788759689922481,10,2015-01-16,9,2
118,990,7,118,2015-03-12,8,HO00000771,867,0.8757575757575751,3,2015-01-16,9,3
119,820,7,119,2015-03-12,8,HO00000771,729,0.8890243902439021,6,2015-01-16,7,4
120,840,7,120,2015-03-12,8,HO00000771,740,0.88095238095238,8,2015-01-16,7,5
121,895,7,121,2015-03-12,8,HO00000771,672,0.7508379888268151,7,2015-01-16,7,6
122,812,7,122,2015-03-12,8,HO00000771,607,0.747536945812807,10,2015-01-16,7,7
123,330,2,123,2015-03-12,8,HO00000771,251,0.7606060606060601,10,2015-01-16,3,8
124,8921,6,124,2015-02-12,4,HO00000772,7392,0.828606658446362,7,2015-01-15,30,0
125,6680,7,125,2015-02-12,4,HO00000772,4782,0.7158682634730531,7,2015-01-15,28,1
126,2335,7,126,2015-02-12,4,HO00000772,1233,0.528051391862955,10,2015-01-15,13,2
127,917,7,127,2015-02-12,4,HO00000772,652,0.711014176663031,3,2015-01-15,7,3
128,262,2,128,2015-02-12,4,HO00000772,192,0.732824427480915,6,2015-01-15,2,4
129,655,5,129,2015-01-29,1,HO00000774,418,0.6381679389312971,7,2015-01-23,5,0
130,262,2,130,2015-01-29,1,HO00000774,102,0.389312977099236,10,2015-01-23,2,1
131,2860,5,131,2015-03-19,8,HO00000775,2501,0.874475524475524,7,2015-01-23,15,0
132,5084,7,132,2015-03-19,8,HO00000775,3333,0.65558615263572,10,2015-01-23,20,1
133,2110,7,133,2015-03-19,8,HO00000775,1438,0.681516587677725,3,2015-01-23,15,2
134,1060,7,134,2015-03-19,8,HO00000775,911,0.85943396226415,6,2015-01-23,9,3
135,1157,7,135,2015-03-19,8,HO00000775,828,0.7156439066551421,8,2015-01-23,9,4
136,812,7,136,2015-03-19,8,HO00000775,698,0.859605911330049,7,2015-01-23,7,5
137,770,7,137,2015-03-19,8,HO00000775,646,0.838961038961038,10,2015-01-23,7,6
138,770,7,138,2015-03-19,8,HO00000775,644,0.8363636363636361,10,2015-01-23,7,7
139,220,2,139,2015-03-19,8,HO00000775,152,0.69090909090909,12,2015-01-23,2,8
140,550,5,140,2015-02-04,2,HO00000776,501,0.9109090909090901,7,2015-01-23,5,0
141,820,7,141,2015-02-04,2,HO00000776,731,0.891463414634146,10,2015-01-23,7,1
142,120,1,142,2015-02-04,2,HO00000776,62,0.516666666666666,3,2015-01-23,1,2
143,550,5,143,2015-01-28,1,HO00000777,419,0.7618181818181811,7,2015-01-23,5,0
144,110,1,144,2015-01-28,1,HO00000777,88,0.8,10,2015-01-23,1,1
145,550,5,145,2015-01-29,1,HO00000778,396,0.72,7,2015-01-23,5,0
146,220,2,146,2015-01-29,1,HO00000778,66,0.30000000000000004,10,2015-01-23,2,1
147,550,5,147,2015-01-29,1,HO00000779,454,0.8254545454545451,7,2015-01-23,5,0
148,220,2,148,2015-01-29,1,HO00000779,81,0.36818181818181805,10,2015-01-23,2,1
149,550,5,149,2015-01-29,1,HO00000780,457,0.83090909090909,7,2015-01-23,5,0
150,220,2,150,2015-01-29,1,HO00000780,183,0.831818181818181,10,2015-01-23,2,1
151,600,5,151,2015-02-04,1,HO00000781,472,0.7866666666666661,10,2015-01-30,5,0
152,120,1,152,2015-02-04,1,HO00000781,57,0.47500000000000003,3,2015-01-30,1,1
153,1205,5,153,2015-03-12,6,HO00000782,1005,0.8340248962655601,10,2015-01-30,10,0
154,1201,7,154,2015-03-12,6,HO00000782,926,0.7710241465445461,3,2015-01-30,10,1
155,840,7,155,2015-03-12,6,HO00000782,747,0.8892857142857141,6,2015-01-30,7,2
156,840,7,156,2015-03-12,6,HO00000782,757,0.9011904761904761,8,2015-01-30,7,3
157,1707,7,157,2015-03-12,6,HO00000782,1356,0.794376098418277,7,2015-01-30,14,4
158,1082,7,158,2015-03-12,6,HO00000782,769,0.71072088724584,10,2015-01-30,9,5
159,240,2,159,2015-03-12,6,HO00000782,132,0.55,10,2015-01-30,2,6
160,550,5,160,2015-02-04,1,HO00000783,365,0.663636363636363,10,2015-01-30,5,0
161,110,1,161,2015-02-04,1,HO00000783,86,0.7818181818181811,3,2015-01-30,1,1
162,655,5,162,2015-02-04,1,HO00000784,399,0.6091603053435111,10,2015-01-30,5,0
163,131,1,163,2015-02-04,1,HO00000784,20,0.15267175572519,3,2015-01-30,1,1
164,770,5,164,2015-02-04,1,HO00000785,511,0.663636363636363,10,2015-01-30,7,0
165,110,1,165,2015-02-04,1,HO00000785,99,0.9,3,2015-01-30,1,1
166,330,3,166,2015-02-01,0,HO00000786,150,0.45454545454545403,10,2015-01-30,3,0
167,550,5,167,2015-02-04,1,HO00000787,366,0.6654545454545451,10,2015-01-30,5,0
168,110,1,168,2015-02-04,1,HO00000787,20,0.18181818181818102,3,2015-01-30,1,1
169,917,5,169,2015-02-04,1,HO00000788,554,0.604143947655397,10,2015-01-30,7,0
170,131,1,170,2015-02-04,1,HO00000788,55,0.419847328244274,3,2015-01-30,1,1
171,660,6,171,2015-02-04,1,HO00000789,437,0.662121212121212,10,2015-01-29,6,0
172,110,1,172,2015-02-04,1,HO00000789,47,0.427272727272727,3,2015-01-29,1,1
173,3490,5,173,2015-02-12,2,HO00000790,3245,0.9297994269340971,10,2015-01-30,22,0
174,2690,7,174,2015-02-12,2,HO00000790,2060,0.765799256505576,3,2015-01-30,22,1
175,680,2,175,2015-02-12,2,HO00000790,364,0.535294117647058,6,2015-01-30,6,2
176,655,5,176,2015-02-18,3,HO00000791,495,0.755725190839694,3,2015-01-30,5,1
177,917,7,177,2015-02-18,3,HO00000791,489,0.5332606324972731,6,2015-01-30,7,2
178,131,1,178,2015-02-18,3,HO00000791,9,0.06870229007633501,8,2015-01-30,1,3
179,13825,6,179,2015-03-19,6,HO00000793,13184,0.953634719710669,3,2015-02-05,67,0
180,10504,7,180,2015-03-19,6,HO00000793,8979,0.854817212490479,6,2015-02-05,43,1
181,6660,7,181,2015-03-19,6,HO00000793,4278,0.642342342342342,8,2015-02-05,27,2
182,2680,7,182,2015-03-19,6,HO00000793,1676,0.6253731343283581,7,2015-02-05,16,3
183,1680,7,183,2015-03-19,6,HO00000793,1326,0.789285714285714,10,2015-02-05,14,4
184,1080,7,184,2015-03-19,6,HO00000793,863,0.799074074074074,10,2015-02-05,9,5
185,240,2,185,2015-03-19,6,HO00000793,160,0.6666666666666661,12,2015-02-05,2,6
186,6200,5,186,2015-03-05,4,HO00000794,5497,0.8866129032258061,3,2015-02-06,20,0
187,4392,7,187,2015-03-05,4,HO00000794,3764,0.8570127504553731,6,2015-02-06,25,1
188,1980,7,188,2015-03-05,4,HO00000794,1647,0.831818181818181,8,2015-02-06,18,2
189,1760,7,189,2015-03-05,4,HO00000794,1384,0.786363636363636,7,2015-02-06,16,3
190,440,2,190,2015-03-05,4,HO00000794,312,0.7090909090909091,10,2015-02-06,4,4
191,1320,5,191,2015-02-26,3,HO00000795,1122,0.85,3,2015-02-06,12,0
192,2160,7,192,2015-02-26,3,HO00000795,1570,0.7268518518518511,6,2015-02-06,16,1
193,990,7,193,2015-02-26,3,HO00000795,814,0.8222222222222221,8,2015-02-06,9,2
194,220,2,194,2015-02-26,3,HO00000795,189,0.859090909090909,7,2015-02-06,2,3
195,600,5,195,2015-02-26,1,HO00000796,420,0.7000000000000001,8,2015-02-20,5,0
196,240,2,196,2015-02-26,1,HO00000796,107,0.445833333333333,7,2015-02-20,2,1
197,6660,5,197,2015-04-01,7,HO00000797,6598,0.99069069069069,6,2015-02-13,24,0
198,9431,7,198,2015-04-01,7,HO00000797,8200,0.8694730145265611,8,2015-02-13,31,1
199,7020,7,199,2015-04-01,7,HO00000797,4987,0.71039886039886,7,2015-02-13,30,2
200,3160,7,200,2015-04-01,7,HO00000797,1992,0.6303797468354431,10,2015-02-13,20,3
201,1560,7,201,2015-04-01,7,HO00000797,1380,0.884615384615384,10,2015-02-13,13,4
202,1560,7,202,2015-04-01,7,HO00000797,1402,0.8987179487179481,12,2015-02-13,13,5
203,960,7,203,2015-04-01,7,HO00000797,789,0.8218749999999999,11,2015-02-13,8,6
204,120,1,204,2015-04-01,7,HO00000797,108,0.9,5,2015-02-13,1,7
205,1420,5,205,2015-02-26,2,HO00000798,1176,0.828169014084507,6,2015-02-13,11,0
206,1844,7,206,2015-02-26,2,HO00000798,1404,0.7613882863340561,8,2015-02-13,16,1
207,440,2,207,2015-02-26,2,HO00000798,291,0.661363636363636,7,2015-02-13,4,2
208,1870,5,208,2015-02-26,2,HO00000799,1689,0.9032085561497321,6,2015-02-13,17,0
209,1760,7,209,2015-02-26,2,HO00000799,1156,0.6568181818181811,8,2015-02-13,16,1
210,440,2,210,2015-02-26,2,HO00000799,170,0.386363636363636,7,2015-02-13,4,2
211,600,5,211,2015-02-19,1,HO00000800,236,0.39333333333333304,6,2015-02-13,5,0
212,240,2,212,2015-02-19,1,HO00000800,42,0.17500000000000002,8,2015-02-13,2,1
213,790,5,213,2015-02-26,2,HO00000801,629,0.7962025316455691,6,2015-02-13,7,0
214,770,7,214,2015-02-26,2,HO00000801,562,0.729870129870129,8,2015-02-13,7,1
215,220,2,215,2015-02-26,2,HO00000801,148,0.6727272727272721,7,2015-02-13,2,2
216,440,4,216,2015-02-16,0,HO00000802,247,0.5613636363636361,6,2015-02-13,4,0
217,660,6,217,2015-03-05,1,HO00000804,269,0.40757575757575704,7,2015-02-26,6,0
218,220,2,218,2015-03-05,1,HO00000804,70,0.318181818181818,10,2015-02-26,2,1
219,2720,5,219,2015-04-01,6,HO00000805,1926,0.708088235294117,8,2015-02-20,12,0
220,1940,7,220,2015-04-01,6,HO00000805,1570,0.809278350515463,7,2015-02-20,14,1
221,2870,7,221,2015-04-01,6,HO00000805,2475,0.8623693379790941,10,2015-02-20,17,2
222,3780,7,222,2015-04-01,6,HO00000805,2524,0.667724867724867,10,2015-02-20,18,3
223,2390,7,223,2015-04-01,6,HO00000805,1487,0.622175732217573,12,2015-02-20,9,4
224,1406,7,224,2015-04-01,6,HO00000805,790,0.5618776671408251,11,2015-02-20,8,5
225,131,1,225,2015-04-01,6,HO00000805,102,0.778625954198473,5,2015-02-20,1,6
226,840,5,226,2015-02-26,1,HO00000806,594,0.7071428571428571,8,2015-02-20,7,0
227,240,2,227,2015-02-26,1,HO00000806,216,0.9,7,2015-02-20,2,1
228,770,5,228,2015-02-26,1,HO00000807,468,0.607792207792207,8,2015-02-20,7,0
229,220,2,229,2015-02-26,1,HO00000807,139,0.6318181818181811,7,2015-02-20,2,1
230,1310,5,230,2015-03-12,3,HO00000808,1055,0.8053435114503811,8,2015-02-20,10,0
231,4864,7,231,2015-03-12,3,HO00000808,2967,0.609991776315789,7,2015-02-20,18,1
232,1895,7,232,2015-03-12,3,HO00000808,881,0.46490765171503906,10,2015-02-20,9,2
233,262,2,233,2015-03-12,3,HO00000808,106,0.404580152671755,10,2015-02-20,2,3
234,550,5,234,2015-02-25,1,HO00000809,317,0.5763636363636361,8,2015-02-20,5,0
235,110,1,235,2015-02-25,1,HO00000809,37,0.33636363636363603,7,2015-02-20,1,1
236,1790,5,236,2015-03-16,3,HO00000810,1065,0.5949720670391061,8,2015-02-20,9,0
237,770,7,237,2015-03-16,3,HO00000810,407,0.528571428571428,7,2015-02-20,7,1
238,770,7,238,2015-03-16,3,HO00000810,545,0.7077922077922071,10,2015-02-20,7,2
239,744,6,239,2015-03-16,3,HO00000810,478,0.6424731182795691,10,2015-02-20,6,3
240,220,2,240,2015-02-22,0,HO00000813,24,0.109090909090909,8,2015-02-21,2,0
241,1680,5,241,2015-04-01,5,HO00000814,1436,0.8547619047619041,7,2015-02-27,14,0
242,2160,7,242,2015-04-01,5,HO00000814,1909,0.8837962962962961,10,2015-02-27,18,1
243,2870,7,243,2015-04-01,5,HO00000814,2233,0.778048780487804,10,2015-02-27,16,2
244,2200,7,244,2015-04-01,5,HO00000814,1410,0.6409090909090901,12,2015-02-27,12,3
245,2030,7,245,2015-04-01,5,HO00000814,1507,0.7423645320197041,11,2015-02-27,9,4
246,310,1,246,2015-04-01,5,HO00000814,220,0.7096774193548381,5,2015-02-27,1,5
247,1425,5,247,2015-04-21,7,HO00000815,1185,0.8315789473684211,7,2015-02-27,12,0
248,1802,7,248,2015-04-21,7,HO00000815,1500,0.832408435072142,10,2015-02-27,16,1
249,1210,7,249,2015-04-21,7,HO00000815,1024,0.8462809917355371,10,2015-02-27,11,2
